budget_year,ministry,department_or_org,strength_actual_1mar,strength_actual_year,strength_est_re_1mar,strength_est_re_year,strength_est_be_1mar,strength_est_be_year,pay_actuals_cr,allowances_actuals_cr,travel_actuals_cr,pay_re_cr,allowances_re_cr,travel_re_cr,pay_be_cr,allowances_be_cr,travel_be_cr
2016-17,Ministry of Communications and Information Technology,Department of Telecommunications,2887,2015,3031,2016,3182,2017,118.59,130.45,10.23,123.19,135.35,17.12,132.95,166.19,14.63
2016-17,Ministry of Communications and Information Technology,Department of Electronics & Information Technology,5589,2015,6567,2016,6567,2017,295.87,197.71,9.64,338.36,226.58,16.42,364.94,244.32,19.81
2016-17,"Ministry of Consumer Affairs, Food and Public Distribution",Department of Consumer Affairs,848,2015,1206,2016,1206,2017,23.33,29.45,1.00,24.00,29.78,1.84,45.00,17.99,1.92
2016-17,"Ministry of Consumer Affairs, Food and Public Distribution",Department of Food and Public Distribution,883,2015,1163,2016,1185,2017,21.66,32.65,1.24,23.91,34.99,1.76,31.12,43.64,1.89
2016-17,Ministry of Corporate Affairs,Ministry of Corporate Affairs,1463,2015,2326,2016,2326,2017,40.12,44.25,2.24,41.09,47.35,2.52,46.37,56.22,2.54
2016-17,Ministry of Culture,Ministry of Culture,7572,2015,10644,2016,10644,2017,137.57,148.94,13.34,151.59,164.21,15.26,148.88,161.28,14.42
2016-17,Ministry of Defence (Misc.),Ministry of Defence (Misc.),40190,2015,50143,2016,51084,2017,1493.25,662.72,67.75,1580.75,724.05,76.78,1769.87,780.25,87.66
2016-17,Ministry of Development of North Eastern Region,Ministry of Development of North Eastern Region,298,2015,299,2016,299,2017,17.84,0.25,0.82,17.01,0.48,0.98,19.73,0.55,1.00
2016-17,Ministry of Drinking Water and Sanitation,Ministry of Drinking Water and Sanitation,150,2015,166,2016,166,2017,6.55,0.50,0.03,7.79,0.66,0.08,8.85,0.75,0.10
2016-17,Ministry of Earth Sciences,Ministry of Earth Sciences,4960,2015,7486,2016,7486,2017,132.36,158.18,5.97,137.87,158.72,5.20,158.70,188.58,7.07
2016-17,"Ministry of Environment, Forests and Climate Change","Ministry of Environment, Forests and Climate Change",3118,2015,5084,2016,5296,2017,90.11,86.42,19.37,89.32,98.75,30.33,94.36,125.07,41.18
2016-17,Ministry of External Affairs,Ministry of External Affairs,8913,2015,10930,2016,10985,2017,683.08,770.28,232.06,715.54,874.54,269.45,789.28,964.67,241.05
2016-17,Ministry of Finance,Department of Economic Affairs,1183,2015,1384,2016,1384,2017,34.21,40.73,7.41,33.97,44.84,11.12,61.40,30.24,12.52
2016-17,Ministry of Finance,Department of Financial Services,1155,2015,1558,2016,1558,2017,31.03,36.96,1.08,36.77,37.22,1.27,43.03,42.13,1.71
2016-17,Ministry of Finance,Department of Expenditure,991,2015,1448,2016,1448,2017,35.67,25.64,2.32,38.40,31.16,4.19,48.86,39.51,4.20
2016-17,Ministry of Finance,Indian Audit and Accounts Department,46874,2015,49089,2016,55179,2017,1266.24,1547.61,130.33,1326.56,1590.88,163.47,1532.62,1851.61,175.84
2016-17,Ministry of Finance,Department of Revenue,96498,2015,177501,2016,177501,2017,2524.56,3311.61,121.51,2669.84,3509.86,137.44,3095.66,4069.00,142.51
2016-17,Ministry of Finance,Department of Disinvestment,56,2015,56,2016,56,2017,4.63,0.28,2.81,4.83,0.27,3.40,5.33,0.59,3.40
