state,fy,lib_receipts_cr,lib_rev_exp_cr,lib_cap_exp_cr,lib_loans_cr,gp_assist_cr,zp_assist_cr,cap_to_rev_pct,rev_self_validated,cap_self_validated,gp_assist_self_validated,zp_assist_self_validated,source_statement,source_url,cap_source_line,rev_source_line,gp_assist_source_line,zp_assist_source_line
Tamil Nadu,2022-23,8.5396,232.1114,64.9126,0.001,,,27.97,True,True,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accts-Vol-II-22-23-065d8865a395be0-32026989.pdf,"105      Public Libraries                                                 1,823.00       6","105 Public Libraries                                           V                    23,211",,
Tamil Nadu,2023-24,,,,,,,,,,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-FINANCE-ACCOUNTS-VOL-II-2023-24-067582ffdc25bf8-34784230.pdf,,,,
Tamil Nadu,2024-25,,,,,,,,,,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finnace-Accounts-VOL-II-2024-25-069985791c52995-23338048.pdf,,,,
Telangana,2023-24,0.0006,84.8468,,,,,,True,False,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Volume-ll-067ecf99b3c24d4-67621206.pdf,105 Public Libraries                                          ...          ...            ,"105 Public Libraries                                               8,484.68               ",,
Tripura,2023-24,0.0,0.1532,,,,,,False,False,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Vol-II-2023-24-Tripura-09-01-2025-067e29ce5a1df22-80338579.pdf,105    Public Libraries                                                    …              ,105    Public Libraries                                                       15.32       ,,
Uttar Pradesh,2021-22,,7.967,0.8596,,,,10.79,True,True,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Account-2021-22-vol-2-0640b0f1e338aa7-47259576.pdf,"Total-105              85.96             0.00     85.96            1,855.22            0.0",105- Public Libraries                                                                796.7,,
Uttar Pradesh,2022-23,,7.9179,2.75,,,,34.73,True,True,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-2022-23-vol-2-Eng-0656da7f0b985f7-07947392.pdf,"Total-105               275.00           0.00     275.00           2,130.22       85.96   ",105- Public Libraries                                                                791.7,,
Uttar Pradesh,2023-24,,8.5216,1.5709,,,,18.43,True,True,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-2023-24-vol-ii-0676579c8dab0a5-03342997.pdf,"Total - 105            157.09                    0.00      157.09           2,287.31      ",105-Public Libraries                                                             852.16   ,,
Uttar Pradesh,2024-25,,8.0638,3.258,,,,40.4,True,True,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-Finance-Accounts-Vol-II-2024-25-English-06964e81ab346b6-31688191.pdf,Total - 105                 157.09             325.80                  0.00         325.80,105-Public Libraries                                                                      ,,
Uttarakhand,2023-24,,2.0247,,,,,,True,,,,CAG Finance Accounts Vol-II (Statements 15/16),https://cag.gov.in/uploads/state_accounts_report/account-report-FA-Vol-2-2023-24-067b71889181d37-07442335.pdf,,105- Public Libraries                                                   202.47            ,,
